Day,Cash On Hand
0,3500000
1,3487400
2,3202950
3,2087127
4,2202266
5,2341812
6,588993
7,213696
8,194123
9,356726
10,2660688
11,1041612
12,1238179
13,1881140
14,313983
15,597018
16,402227
17,1031530
18,1152857
19,1953833
20,3164646
21,1872103
22,3303897
23,5469967
24,5262315
25,4442513
26,2773277
27,3139445
28,3040767
29,3183852
30,3281208
31,3990988
32,4297913
33,5117543
34,5542552
35,5491126
36,5729719
37,7481015
38,5156112
39,6297708
40,4699919
41,4776973
42,4141240
43,4265666
44,2120527
45,4439447
46,6271515
47,6150360
48,6346614
49,7234420
50,7162851
51,6621191
52,6641706
53,8774369
54,8896558
55,9192390
56,9378907
57,10016020
58,10302490
59,10422679
60,10419113
61,10219502
62,10266322
63,10296222
64,10307533
65,10989018
66,11081686
67,11310445
68,11257383
69,10813864
70,10081178
71,10521940
72,9737499
73,10036707
74,10105775
75,10787402
76,11185151
77,9628057
78,10042272
79,11070386
80,12165096
81,12983919
82,13383678
83,13288483
84,13762578
85,13487901
86,13460949
87,14413474
88,14316294
89,14391811
90,14762124
