Day,Sales,COGS,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0,0
1,0,0,0,12600,-12600
2,0,0,0,297050,-297050
3,203977,121540,82437,341850,-259413
4,367062,218789,148273,389796,-241523
5,540865,322290,218575,424053,-205478
6,719301,429012,290289,455908,-165619
7,1002970,639131,363839,489874,-126035
8,1198156,782981,415175,524756,-109581
9,1372131,880010,492121,560152,-68031
10,5924549,4019581,1904968,589952,1315016
11,6663739,4405729,2258010,626400,1631610
12,7518232,4866739,2651493,657265,1994228
13,8197965,5195021,3002944,694037,2308907
14,8874397,5491373,3383024,726070,2656954
15,10133845,6465105,3668740,756870,2911870
16,11199379,7166097,4033282,789829,3243453
17,13308348,8698993,4609355,820623,3788732
18,14364031,9409438,4954593,863421,4091172
19,15636928,10276055,5360873,894218,4466655
20,16905513,11101944,5803569,951990,4851579
21,17049368,11164865,5884503,1066239,4818264
22,18581691,12177433,6404258,1120485,5283773
23,20978855,13727312,7251543,1351579,5899964
24,21260133,13814990,7445143,1413673,6031470
25,21616931,13898140,7718791,1515652,6203139
26,21799250,13986180,7813070,1583446,6229624
27,22236230,14071633,8164597,1659258,6505339
28,22429225,14172912,8256313,1731619,6524694
29,22709057,14259625,8449432,1807816,6641616
30,22887505,14345998,8541507,1878970,6662537
31,24125820,15201036,8924784,1953143,6971641
32,25185326,16081471,9103855,2031247,7072608
33,26131660,16887039,9244621,2139202,7105419
34,27885093,17914528,9970565,2212074,7758491
35,28058607,17992567,10066040,2284934,7781106
36,28375083,18071288,10303795,2367817,7935978
37,30370955,19185520,11185435,2444767,8740668
38,31556288,19751666,11804622,2517443,9287179
39,32765580,20208323,12557257,2590139,9967118
40,34338330,21648823,12689507,2670936,10018571
41,34499415,21728656,12770759,2759967,10010792
42,34673374,21816444,12856930,2835399,10021531
43,36106259,23456339,12649920,2917605,9732315
44,37564945,24639908,12925037,3003864,9921173
45,39981989,26674681,13307308,3081303,10226005
46,41886288,28261147,13625141,3158534,10466607
47,43572770,29672920,13899850,3239891,10659959
48,43849604,29725661,14123943,3317432,10806511
49,45140665,30874733,14265932,3398855,10867077
50,45264999,30941718,14323281,3479839,10843442
51,45414563,31026391,14388172,3561637,10826535
52,45512404,31068115,14444289,3643963,10800326
53,47730350,32252078,15478272,3734246,11744026
54,47963163,32306445,15656718,3814633,11842085
55,48379603,32489770,15889833,3892678,11997155
56,48770362,32649174,16121188,3972673,12148515
57,49570420,32807532,16762888,4070291,12692597
58,50066797,32960397,17106400,4156114,12950286
59,50285939,33036113,17249826,4234116,13015710
60,50457281,33081685,17375596,4314184,13061412
61,50560579,33117113,17443466,4398953,13044513
62,50683152,33180425,17502727,4477878,13024849
63,50789169,33225500,17563669,4558995,13004674
64,50911159,33299502,17611657,4644738,12966919
65,51732469,33551108,18181361,4725932,13455429
66,51901093,33616301,18284792,4806888,13477904
67,52225155,33738548,18486607,4907191,13579416
68,52620157,33985169,18634988,4987171,13647817
69,52781100,34055275,18725825,5068384,13657441
70,53691774,34868989,18822785,5162752,13660033
71,54214371,34992828,19221543,5249587,13971956
72,54397478,35071140,19326338,5344985,13981353
73,54936600,35492753,19443847,5427581,14016266
74,55089901,35548898,19541003,5511648,14029355
75,55867152,36278646,19588506,5591558,13996948
76,56551075,36815486,19735589,5675232,14060357
77,57232631,37475464,19757167,5775906,13981261
78,58276617,37844223,20432394,5857897,14574497
79,59389517,38208989,21180528,5937301,15243227
80,60909505,39088014,21821491,6016705,15804786
81,61995402,39502376,22493026,6097119,16395907
82,63267057,39894347,23372710,6202977,17169733
83,63427493,39960812,23466681,6291208,17175473
84,64664165,40800254,23863911,6372435,17491476
85,65089356,40867260,24222096,6449071,17773025
86,65521378,40988937,24532441,6535231,17997210
87,66569167,41828191,24740976,6630495,18110481
88,66772925,41937772,24835153,6709673,18125480
89,66927751,42005598,24922153,6788982,18133171
90,67392906,42080354,25312552,6882753,18429799
